UTC,Open,High,Low,Close,Volume
25.04.2022 17:37:26.000 UTC,0.91412,0.91412,0.91412,0.91412,2.4
25.04.2022 17:37:28.000 UTC,0.91412,0.91412,0.91411,0.91411,3.5999999999999996
25.04.2022 17:37:29.000 UTC,0.9141,0.91411,0.9141,0.91411,2.4
25.04.2022 17:37:30.000 UTC,0.91412,0.91412,0.91412,0.91412,1.34
25.04.2022 17:37:31.000 UTC,0.91414,0.91416,0.91413,0.91416,6
25.04.2022 17:37:32.000 UTC,0.91416,0.91416,0.91411,0.91411,2.4
25.04.2022 17:37:33.000 UTC,0.91412,0.91413,0.91412,0.91413,3.9000000000000004
25.04.2022 17:37:34.000 UTC,0.91415,0.91415,0.91413,0.91413,3.5999999999999996
25.04.2022 17:37:35.000 UTC,0.91412,0.91413,0.91412,0.91413,3.5999999999999996
25.04.2022 17:37:37.000 UTC,0.91414,0.91417,0.91414,0.91416,7.2
25.04.2022 17:37:38.000 UTC,0.91416,0.9142,0.91416,0.91417,8.54
25.04.2022 17:37:39.000 UTC,0.91414,0.9142,0.91414,0.9142,5.840000000000001
25.04.2022 17:37:40.000 UTC,0.9142,0.9142,0.91416,0.91416,3.5999999999999996
25.04.2022 17:37:41.000 UTC,0.91417,0.91417,0.91417,0.91417,1.2
25.04.2022 17:37:42.000 UTC,0.91419,0.91419,0.91418,0.91418,2.4
25.04.2022 17:37:43.000 UTC,0.91418,0.91418,0.91418,0.91418,2.54
25.04.2022 17:37:46.000 UTC,0.91421,0.91421,0.91418,0.91418,5.1
25.04.2022 17:37:47.000 UTC,0.91419,0.91421,0.91419,0.91421,2.4
25.04.2022 17:37:48.000 UTC,0.9142,0.91421,0.9142,0.91421,3.5999999999999996
25.04.2022 17:37:49.000 UTC,0.9142,0.9142,0.9142,0.9142,1.2
25.04.2022 17:37:50.000 UTC,0.91419,0.91419,0.91417,0.91417,2.54
25.04.2022 17:37:51.000 UTC,0.91416,0.91421,0.91416,0.91418,9.6
25.04.2022 17:37:55.000 UTC,0.91418,0.91418,0.91417,0.91417,2.4
25.04.2022 17:37:56.000 UTC,0.91419,0.91419,0.91419,0.91419,2.4
25.04.2022 17:37:57.000 UTC,0.9142,0.9142,0.91419,0.9142,4.8
25.04.2022 17:37:58.000 UTC,0.91419,0.9142,0.91417,0.91417,6.6
25.04.2022 17:37:59.000 UTC,0.91417,0.91419,0.91417,0.91419,4.2
25.04.2022 17:38:01.000 UTC,0.91419,0.91419,0.91419,0.91419,1.2
25.04.2022 17:38:02.000 UTC,0.91417,0.91417,0.91415,0.91416,4.34
25.04.2022 17:38:03.000 UTC,0.91416,0.91416,0.91416,0.91416,1.2
25.04.2022 17:38:04.000 UTC,0.91416,0.91416,0.91414,0.91414,3.74
25.04.2022 17:38:06.000 UTC,0.91414,0.91416,0.91413,0.91416,9.879999999999999
25.04.2022 17:38:07.000 UTC,0.91415,0.91416,0.91415,0.91416,3
25.04.2022 17:38:08.000 UTC,0.91416,0.91416,0.91416,0.91416,1.94
25.04.2022 17:38:09.000 UTC,0.91416,0.91416,0.91416,0.91416,1.34
25.04.2022 17:38:11.000 UTC,0.91417,0.91417,0.91417,0.91417,2.4
25.04.2022 17:38:13.000 UTC,0.91417,0.91418,0.91417,0.91418,4.94
25.04.2022 17:38:14.000 UTC,0.91417,0.91417,0.91417,0.91417,1.2
25.04.2022 17:38:15.000 UTC,0.91417,0.91417,0.91417,0.91417,1.2
25.04.2022 17:38:16.000 UTC,0.91418,0.91418,0.91417,0.91417,3.5999999999999996
25.04.2022 17:38:17.000 UTC,0.91417,0.91418,0.91417,0.91417,3.5999999999999996
25.04.2022 17:38:18.000 UTC,0.91416,0.91418,0.91416,0.91418,2.4
25.04.2022 17:38:19.000 UTC,0.91418,0.91421,0.91418,0.91421,2.4
25.04.2022 17:38:22.000 UTC,0.91421,0.91421,0.9142,0.9142,2.4
25.04.2022 17:38:23.000 UTC,0.9142,0.9142,0.9142,0.9142,1.2
25.04.2022 17:38:24.000 UTC,0.9142,0.9142,0.91416,0.91416,4.8
25.04.2022 17:38:25.000 UTC,0.91416,0.91416,0.91416,0.91416,2.4
25.04.2022 17:38:26.000 UTC,0.91417,0.91417,0.91417,0.91417,1.2
25.04.2022 17:38:27.000 UTC,0.91418,0.91422,0.91418,0.91422,2.4
25.04.2022 17:38:29.000 UTC,0.91418,0.9142,0.91418,0.9142,2.4
25.04.2022 17:38:30.000 UTC,0.9142,0.91421,0.9142,0.91421,2.4
25.04.2022 17:38:31.000 UTC,0.9142,0.91422,0.9142,0.91422,2.4
25.04.2022 17:38:32.000 UTC,0.91423,0.91423,0.91422,0.91422,3.5999999999999996
25.04.2022 17:38:33.000 UTC,0.91421,0.91423,0.91421,0.91423,4.8
25.04.2022 17:38:34.000 UTC,0.91424,0.91424,0.91424,0.91424,2.4
25.04.2022 17:38:35.000 UTC,0.91424,0.91424,0.91424,0.91424,1.2
25.04.2022 17:38:38.000 UTC,0.91427,0.91427,0.91424,0.91425,4.8
25.04.2022 17:38:39.000 UTC,0.91426,0.91427,0.91424,0.91424,4.8
25.04.2022 17:38:40.000 UTC,0.91425,0.91425,0.91425,0.91425,2.4
